customer_id,order_date,order_status,payment_mode,shipper_id
2451,2024-03-15,Shipped,Bank Transfer,5
2169,2024-01-01,Pending,COD,8
117,2024-06-23,Delivered,Debit Card,3
735,2024-04-06,Delivered,Bank Transfer,8
410,2024-07-27,Pending,COD,2
3528,2024-05-23,Pending,COD,10
575,2024-08-07,Cancelled,Debit Card,5
4284,2024-11-06,Pending,COD,9
74,2024-07-16,Delivered,Bank Transfer,1
3628,2024-01-09,Pending,Bank Transfer,2
1381,2024-07-27,Delivered,Debit Card,7
1724,2024-01-18,Cancelled,COD,8
1090,2024-12-27,Pending,Credit Card,6
3158,2024-10-23,Shipped,Debit Card,2
3923,2024-11-28,Cancelled,Debit Card,3
199,2024-11-30,Delivered,COD,5
3787,2024-02-16,Cancelled,Bank Transfer,3
1600,2024-08-05,Delivered,COD,5
783,2024-04-06,Cancelled,Bank Transfer,7
451,2024-05-02,Pending,Credit Card,6
549,2024-04-26,Shipped,Credit Card,6
944,2024-03-30,Cancelled,COD,3
40,2024-08-28,Cancelled,Bank Transfer,9
2909,2024-09-17,Pending,COD,2
4426,2024-04-18,Cancelled,Credit Card,6
4818,2024-10-10,Shipped,COD,6
1843,2024-04-08,Pending,Debit Card,7
137,2024-09-16,Shipped,Bank Transfer,1
3061,2024-01-10,Shipped,Debit Card,6
337,2024-06-28,Shipped,Bank Transfer,2
3468,2024-06-04,Pending,Bank Transfer,10
2019,2024-09-07,Pending,Debit Card,7
2952,2024-03-12,Delivered,COD,2
490,2024-08-12,Shipped,Bank Transfer,3
1020,2024-04-23,Pending,Bank Transfer,10
661,2024-04-23,Pending,Bank Transfer,5
25,2024-04-12,Delivered,COD,6
1956,2024-04-23,Shipped,Bank Transfer,7
4549,2024-02-09,Delivered,Bank Transfer,7
978,2024-09-13,Cancelled,Debit Card,1
3493,2024-01-20,Cancelled,Bank Transfer,8
2225,2024-03-11,Delivered,Debit Card,8
2991,2024-11-30,Delivered,COD,7
3594,2024-02-05,Pending,Bank Transfer,1
4070,2024-01-20,Cancelled,Credit Card,8
31,2024-12-30,Delivered,Debit Card,4
1932,2024-10-01,Cancelled,Credit Card,10
2074,2024-05-19,Shipped,COD,4
4886,2024-11-27,Pending,Credit Card,9
2972,2024-09-01,Delivered,COD,9
2688,2024-12-14,Delivered,Debit Card,3
1661,2024-07-02,Shipped,Debit Card,10
4084,2024-02-14,Pending,Bank Transfer,6
359,2024-09-08,Shipped,Bank Transfer,1
4521,2024-10-03,Pending,COD,10
218,2024-10-05,Pending,COD,8
4172,2024-01-31,Pending,Bank Transfer,3
428,2024-04-25,Shipped,COD,2
4265,2024-01-24,Shipped,Debit Card,7
3546,2024-03-07,Pending,Bank Transfer,2
1124,2024-12-30,Cancelled,Credit Card,2
3833,2024-07-16,Pending,Credit Card,7
2865,2024-04-28,Pending,COD,3
4672,2024-12-28,Cancelled,Debit Card,7
2694,2024-05-19,Pending,Bank Transfer,10
3435,2024-10-31,Pending,Debit Card,3
3500,2024-12-25,Shipped,Bank Transfer,6
1129,2024-07-17,Shipped,COD,6
675,2024-10-22,Pending,COD,9
3368,2024-10-01,Cancelled,Bank Transfer,5
895,2024-10-29,Pending,COD,7
4801,2024-09-05,Cancelled,Credit Card,6
1729,2024-04-16,Pending,COD,10
1216,2024-12-13,Shipped,Bank Transfer,6
53,2024-01-12,Delivered,COD,1
3928,2024-07-27,Pending,Debit Card,7
2980,2024-09-07,Delivered,COD,1
4648,2024-10-18,Pending,Credit Card,1
2707,2024-05-12,Delivered,COD,1
1668,2024-02-08,Delivered,Credit Card,9
3679,2024-05-11,Delivered,Credit Card,8
3984,2024-09-24,Cancelled,Bank Transfer,6
507,2024-02-20,Pending,Credit Card,7
1352,2024-12-25,Cancelled,Credit Card,3
3640,2024-04-09,Pending,Debit Card,7
4999,2024-11-15,Cancelled,Debit Card,7
1157,2024-07-19,Shipped,COD,6
4297,2024-06-19,Pending,Bank Transfer,1
984,2024-04-22,Pending,Debit Card,7
3501,2024-12-29,Delivered,Debit Card,3
4253,2024-01-02,Shipped,Bank Transfer,9
4510,2024-08-18,Shipped,Bank Transfer,7
2349,2024-09-08,Delivered,COD,5
4252,2024-12-05,Pending,Credit Card,4
3308,2024-07-05,Delivered,COD,7
3488,2024-03-17,Cancelled,Debit Card,2
4546,2024-05-21,Pending,Debit Card,6
1332,2024-08-09,Delivered,COD,9
3168,2024-02-16,Cancelled,COD,5
738,2024-03-13,Cancelled,Bank Transfer,4
1880,2024-10-21,Shipped,Credit Card,8
3438,2024-08-20,Pending,Credit Card,3
2538,2024-02-10,Shipped,Bank Transfer,1
4225,2024-03-27,Shipped,Credit Card,9
3571,2024-04-11,Pending,Debit Card,6
989,2024-07-20,Delivered,Bank Transfer,2
4283,2024-05-19,Delivered,Bank Transfer,7
4334,2024-01-23,Shipped,Credit Card,5
3560,2024-02-08,Cancelled,Debit Card,7
2921,2024-08-29,Shipped,Debit Card,6
3607,2024-11-14,Shipped,Bank Transfer,5
2112,2024-03-10,Delivered,Debit Card,7
372,2024-08-09,Delivered,Credit Card,10
3916,2024-02-08,Pending,Credit Card,9
223,2024-02-15,Cancelled,Credit Card,3
3162,2024-01-30,Shipped,COD,4
571,2024-04-12,Cancelled,Bank Transfer,8
4749,2024-07-05,Cancelled,Bank Transfer,10
4039,2024-07-07,Cancelled,Bank Transfer,6
1764,2024-06-29,Delivered,Debit Card,6
3376,2024-03-07,Pending,Debit Card,3
453,2024-05-29,Delivered,Bank Transfer,5
2457,2024-07-18,Delivered,COD,3
759,2024-12-20,Cancelled,Credit Card,6
1483,2024-06-09,Delivered,Credit Card,4
2329,2024-11-01,Pending,Debit Card,4
2942,2024-06-19,Pending,COD,1
