order_id,product_id,product_quantity
8305,986,7
9218,590,9
6482,316,3
11579,1484,8
7061,11,10
8323,1071,10
12557,843,1
8064,1353,6
9425,421,5
6502,822,7
14905,873,8
12255,993,10
2181,904,6
607,505,1
9980,119,8
14142,718,9
62,1469,9
14906,528,8
13486,1466,4
3956,1165,8
3215,54,6
11236,76,1
4650,231,7
907,1094,3
2314,929,1
14316,1430,1
13400,390,10
10199,467,3
9969,485,9
2473,1003,1
3700,255,6
13184,953,3
6585,997,5
2530,491,5
14149,560,7
7011,855,1
8031,1198,8
3628,738,9
10654,154,9
13463,1402,5
3313,856,2
4655,259,7
1252,1444,1
8024,1226,4
8234,1028,2
14053,881,6
8923,1274,1
407,1476,6
2335,919,5
3927,457,8
3493,1321,9
7,582,2
13622,753,4
12115,424,5
2609,1410,1
2634,242,8
4048,1313,3
14277,654,8
11823,991,9
215,1396,4
5082,356,5
2891,113,10
10968,1052,7
10483,206,4
9194,161,3
8040,1056,7
9446,39,10
6536,1013,6
6520,777,7
13372,909,2
4946,730,8
4412,1397,5
6778,1328,5
3958,432,10
1332,903,6
10558,381,1
3449,210,10
13806,1006,8
1420,1378,2
2806,763,9
9649,532,9
443,811,1
4523,1122,5
6007,277,10
11852,243,8
10210,309,4
13803,1033,8
5302,174,6
6451,360,6
1449,1020,6
9860,629,2
6348,1229,3
6494,976,3
14085,474,3
14165,1453,10
837,669,4
8204,817,2
6973,303,10
860,624,1
2094,662,10
14848,309,3
6382,397,2
1220,151,8
8206,500,10
14436,494,2
1955,340,3
13685,835,10
13918,1066,1
13556,957,3
8785,455,4
11456,609,2
1385,613,5
9183,1423,10
3548,923,5
8064,593,2
6949,670,8
4186,292,1
1686,348,3
4344,1195,2
421,227,5
4794,383,6
5315,273,6
6720,1084,3
4011,1405,10
11333,479,4
5088,1313,10
7148,537,7
1428,281,8
11546,175,10
6667,1008,4
6730,1452,8
4600,486,7
13142,1342,5
9408,114,2
3125,715,7
9282,319,8
7688,497,4
6844,85,1
5172,290,2
6193,915,6
11561,1444,8
8574,12,3
458,808,8
14235,37,6
680,18,3
14410,659,2
1497,1355,9
8861,1080,5
350,1095,3
10628,967,10
10381,1161,7
9674,180,8
14797,1372,9
302,1408,2
3837,58,10
4964,41,9
8355,1012,6
2026,346,8
11626,1131,6
2334,1052,3
14121,1221,9
6887,69,6
773,370,10
11958,244,6
6939,521,9
680,329,7
6899,319,6
2964,145,5
5090,1260,5
4198,1269,10
13887,951,2
4624,1216,3
8090,1415,4
5916,1348,2
2310,606,10
2113,536,2
9697,402,5
12119,1495,3
4112,769,3
3077,589,5
4419,292,8
4841,665,6
2424,1241,5
14061,1250,10
9304,705,2
11704,1174,2
14127,681,1
14170,915,3
1541,1277,1
7838,1354,4
2009,394,3
8734,175,4
384,1093,7
13320,644,10
703,1020,3
8365,303,2
7378,1117,10
13818,1087,10
7246,1453,6
2013,424,7
2503,555,1
1024,796,8
3780,117,5
7151,898,7
952,153,4
3088,970,8
12287,1434,6
3718,926,3
6256,1387,6
2683,899,9
12127,972,2
3783,554,9
9724,1331,4
4965,664,1
13891,1025,8
1521,1211,4
4901,323,7
8861,382,2
5361,1213,4
7448,1290,2
790,347,2
1280,826,6
10605,1306,2
11,445,4
295,1154,5
13539,530,4
7008,504,10
2513,1010,3
13409,894,6
11578,1187,7
8786,408,4
7721,1323,1
10708,578,7
13497,1293,10
10189,1290,3
6847,1166,4
8491,922,4
14996,1166,5
12951,611,4
6209,295,5
14591,156,1
10125,1102,2
8460,1344,2
8096,831,7
3895,288,9
7162,646,3
10944,652,7
8840,921,7
9897,308,6
14389,101,8
12684,56,1
14005,909,1
5300,774,1
